source,report_date,year,revenue_meur,ebita_meur,ebita_pct,eps_adj,dividend
Inderes,2024-06-13,2024,117.5,7.5,6.4,0.66,0.3
Inderes,2024-06-13,2025,122.0,8.4,6.9,0.77,0.35
Inderes,2024-06-13,2026,129.0,10.0,7.7,0.94,0.4
SEB,2024-02-27,2024,127.0,8.0,6.4,0.77,0.35
SEB,2024-02-27,2025,139.0,11.0,7.8,1.11,0.5
SEB,2024-02-27,2026,150.0,12.0,8.2,1.28,0.6
